"Cases - cumulative total","Cases - cumulative total per 100000 population","Cases - newly reported in last 7 days","Cases - newly reported in last 7 days per 100000 population","Cases - newly reported in last 24 hours","Deaths - cumulative total","Deaths - cumulative total per 100000 population","Deaths - newly reported in last 7 days","Deaths - newly reported in last 7 days per 100000 population","Deaths - newly reported in last 24 hours"
103436829,31249.547,0,0.0,0,1127152,340.527,0,0.0,0
99268660,6747.064,5829,0.396,0,121235,8.24,68,0.005,0
44990278,3260.155,2387,0.173,0,531867,38.541,18,0.001,0
39035040,60017.566,19042,29.278,0,163570,251.494,56,0.086,0
38426308,46203.953,1642,1.974,0,174247,209.515,4,0.005,0
37579028,17679.305,25691,12.087,0,702664,330.573,243,0.114,0
33803572,26727.165,0,0.0,0,74694,59.058,0,0.0,0
31646973,61727.084,54544,106.387,0,34754,67.787,35,0.068,0
25857572,43355.008,5022,8.42,0,190392,319.227,51,0.086,0
24618436,36264.376,1465,2.158,0,226278,333.321,0,0.0,0
22917873,15704.223,0,0.0,0,398919,273.355,0,0.0,0
17004677,20162.278,0,0.0,0,101419,120.252,0,0.0,0
13868227,29299.516,0,0.0,0,121213,256.088,0,0.0,0
11609878,11927.314,4480,4.602,0,43206,44.387,1,0.001,0
11381171,44632.246,0,0.0,0,20866,81.828,0,0.0,0
10044957,22225.434,0,0.0,0,130472,288.682,0,0.0,0
8610372,49463.335,0,0.0,0,22992,132.08,0,0.0,0
7614771,5906.002,2103,1.631,0,334107,259.133,11,0.009,0
7611583,9062.169,210,0.25,0,146253,174.125,8,0.01,0
6807085,2488.664,2795,1.022,0,161762,59.14,47,0.017,0
6516890,17168.624,337,0.888,0,119610,315.11,7,0.018,0
6367600,12514.226,823,1.617,0,142748,280.542,7,0.014,0
6076625,68268.524,1670,18.762,0,22501,252.79,4,0.045,0
6067218,56604.76,0,0.0,0,36969,344.906,0,0.0,0
5588310,54276.995,1693,16.443,0,26759,259.899,30,0.291,0
5553031,12697.356,0,0.0,0,112352,256.9,0,0.0,0
5287288,27658.675,473,2.474,0,61508,321.758,17,0.089,0
5100249,15758.046,5801,17.923,0,37087,114.586,17,0.053,0
4826031,55756.549,323,3.732,0,12527,144.728,0,0.0,0
4799107,41650.093,83,0.72,0,34336,297.992,0,0.0,0
4738988,6789.383,0,0.0,0,34053,48.787,0,0.0,0
4676878,12391.656,3147,8.338,0,52425,138.903,34,0.09,0
4642065,43408.374,233,2.179,0,42802,400.245,3,0.028,0
4507363,13670.335,1503,4.558,0,220673,669.277,112,0.34,0
4405430,50902.651,0,0.0,0,14016,161.948,0,0.0,0
4139295,3777.381,9028,8.239,0,66466,60.655,0,0.0,0
4072533,6866.672,0,0.0,0,102595,172.985,0,0.0,0
3413689,58626.618,258,4.431,0,8695,149.328,22,0.378,0
3404197,17612.011,1841,9.525,0,68184,352.758,12,0.062,0
2709815,26238.602,0,0.0,0,24336,235.641,0,0.0,0
2541522,36691.645,959,13.845,0,18051,260.6,3,0.043,0
2465545,6129.767,0,0.0,0,25375,63.087,0,0.0,0
2459457,42039.542,0,0.0,0,1722,29.434,0,0.0,0
2306943,47839.725,11384,236.073,0,2942,61.009,49,1.016,0
2202716,22546.805,0,0.0,0,48784,499.349,0,0.0,0
2039244,1238.236,503,0.305,0,29446,17.88,0,0.0,0
1866857,34204.845,43,0.788,0,21167,387.825,0,0.0,0
1842046,46176.114,0,0.0,0,17070,427.908,0,0.0,0
1746997,17122.161,0,0.0,0,14122,138.408,0,0.0,0
1712113,34487.535,98,1.974,0,8960,180.484,25,0.504,0
1580631,715.566,0,0.0,0,30656,13.878,0,0.0,0
1502857,8003.837,0,0.0,0,19072,101.573,0,0.0,0
1484882,27663.901,140,2.608,0,5528,102.989,0,0.0,0
1479608,26778.82,128,2.317,0,9676,175.122,0,0.0,0
1344104,64131.352,0,0.0,0,9364,446.785,0,0.0,0
1320438,47258.249,319,11.417,0,9681,346.481,2,0.072,0
1307420,18807.788,436,6.272,0,38382,552.141,9,0.129,0
1274180,3452.074,0,0.0,0,16297,44.153,0,0.0,0
1273795,31388.448,124,3.056,0,18255,449.834,9,0.222,0
1252170,6989.284,1084,6.051,0,20200,112.751,1,0.006,0
