ID;Edad;Genero;Nivel de Educacion;Titulo profesional;Años de experiencia;Salario
1;32;Masculino;Licenciatura;Ingeniero de software;5;9000
2;28;Femenino;Maestria;Analista de datos;3;6500
3;45;Masculino;Doctorado;Senior Gerente;15;15000
4;36;Femenino;Licenciatura;Administración de Empresas;7;6000
5;52;Masculino;Maestria;Director;20;20000
6;29;Masculino;Licenciatura;Analista de marketing;2;5500
7;42;Femenino;Maestria;Gerente de Producto;12;12000
8;31;Masculino;Licenciatura;Gerente de ventas;4;8000
9;26;Femenino;Licenciatura;Coordinador de marketing;1;4500
10;38;Masculino;Doctorado;Senior Científico;10;11000
11;29;Masculino;Maestria;Desarrollador de software;3;7500
12;48;Femenino;Licenciatura;Gerente de RRHH;18;14000
13;35;Masculino;Licenciatura;Analista financiero;6;6500
14;40;Femenino;Maestria;Gerente de proyecto;14;13000
15;27;Masculino;Licenciatura;Representante de Servicio al Cliente;2;4000
16;44;Masculino;Licenciatura;Gerente de Operaciones;16;12500
17;33;Femenino;Maestria;Gerente de Marketing;7;9000
18;39;Masculino;Doctorado;Senior Ingeniero;12;11500
19;25;Femenino;Licenciatura;Empleado de entrada de datos;0;3500
20;51;Masculino;Licenciatura;Director de ventas;22;18000
21;34;Femenino;Maestria;Analista de negocios;5;8000
22;47;Masculino;Maestria;Vicepresidente de Operaciones;19;19000
23;30;Masculino;Licenciatura;Soporte de TI;2;5000
24;36;Femenino;Licenciatura;Reclutador;9;6000
25;41;Masculino;Maestria;Gerente financiero;13;14000
26;28;Femenino;Licenciatura;Especialista medios de comunicación;3;4500
27;37;Femenino;Maestria;Administrador de software;11;11000
28;24;Masculino;Licenciatura;Junior Desarrollador;1;4000
29;43;Femenino;Doctorado;Senior Consultor;15;14000
30;33;Masculino;Maestria;Diseñador de productos;6;9000
31;50;Masculino;Licenciatura;Director ejecutivo;25;25000
32;31;Femenino;Licenciatura;Contador;4;5500
33;29;Masculino;Maestria;Científico de datos;3;7500
34;39;Femenino;Licenciatura;Especialista en Marketing;10;6500
35;46;Masculino;Doctorado;Senior Gerente;20;17000
36;27;Masculino;Licenciatura;Escritor técnico;2;4500
37;35;Femenino;Licenciatura;Gerente de RRHH;7;6000
38;42;Masculino;Maestria;Ingeniero de Proyectos;14;11500
39;26;Femenino;Licenciatura;Representante del cliente;1;4000
40;49;Masculino;Licenciatura;Ejecutivo de ventas;21;16000
41;34;Femenino;Maestria;Diseñadores de experiencia de usuario;5;8000
42;48;Masculino;Maestria;Director de Operaciones;18;19000
43;30;Masculino;Licenciatura;Ingeniero de Redes;3;6000
44;36;Femenino;Licenciatura;Asistente Administrativo;8;4500
45;41;Masculino;Maestria;Consultor de Estrategia;13;13000
46;28;Femenino;Licenciatura;Redactor;2;4000
47;32;Masculino;Licenciatura;Gerente de Cuentas;5;7500
48;45;Femenino;Maestria;Director de Marketing;16;18000
49;38;Masculino;Doctorado;Senior Científico;11;12000
50;25;Masculino;Licenciatura;Analista de Atencion al Cliente;0;3500
51;51;Femenino;Licenciatura;Gerente de Servicio al Cliente;22;13000
52;33;Masculino;Maestria;Analista de Inteligencia de Negocios;7;8500
53;40;Femenino;Licenciatura;Coordinador de Eventos;12;6000
54;47;Masculino;Maestria;Vicepresidente de Finanzas;19;20000
55;29;Femenino;Licenciatura;Diseñador Gráfico;3;5000
56;36;Masculino;Licenciatura;Gerente de ventas;9;9500
